Rank,Player,ATT,YDS,Y/ATT,LG,20+,TD,REC,TGT,YDS,Y/REC,TD,FL,G,FPTS,FPTS/G,RUSHYRDS/G,PASSYDS/G,ATT/G,TGT/G,RUSHTD/G,PASSTD/G,TOTTD/G
17,Kenyan Drake (LV),170,817,5,80,4,8,50,68,345,6.9,0,1,14,214.2,15.3,58.35714286,24.64285714,12.14285714,4.857142857,0.5714285714,0,0.5714285714
18,James White (NE),67,263,3.9,32,1,1,72,95,645,9,5,1,15,200.2,13.34666667,17.53333333,43,4.466666667,6.333333333,0.06666666667,0.3333333333,0.4
19,Phillip Lindsay (HOU),224,"1,011",5,40,7,7,35,48,196,5.6,0,0,16,197.7,12.35625,63.1875,12.25,14,3,0.4375,0,0.4375
20,Devonta Freeman (BAL),184,656,3.6,28,3,2,59,70,410,6.9,4,2,14,197.6,14.11428571,46.85714286,29.28571429,13.14285714,5,0.1428571429,0.2857142857,0.4285714286
21,Josh Jacobs (LV),242,"1,150",5,51,8,7,20,27,166,8.3,0,1,13,191.6,14.73846154,88.46153846,12.76923077,18.61538462,2.076923077,0.5384615385,0,0.5384615385
22,Marlon Mack (IND),247,"1,091",4.4,63,9,8,14,17,82,5.9,0,0,14,181.3,12.95,77.92857143,5.857142857,17.64285714,1.214285714,0.5714285714,0,0.5714285714
23,Melvin Gordon III (DEN),162,612,3.8,24,2,8,42,55,296,7,1,3,12,180.8,15.06666667,51,24.66666667,13.5,4.583333333,0.6666666667,0.08333333333,0.75
24,David Montgomery (CHI),242,889,3.7,55,3,6,25,35,185,7.4,1,2,16,170.4,10.65,55.5625,11.5625,15.125,2.1875,0.375,0.0625,0.4375
25,Ronald Jones II (TB),172,724,4.2,49,6,6,31,40,309,10,0,2,16,166.3,10.39375,45.25,19.3125,10.75,2.5,0.375,0,0.375
26,Raheem Mostert (SF),137,772,5.6,41,3,8,14,22,180,12.9,2,2,16,165.2,10.325,48.25,11.25,8.5625,1.375,0.5,0.125,0.625
27,Tarik Cohen (CHI),64,213,3.3,19,0,0,79,104,456,5.8,3,0,16,163.9,10.24375,13.3125,28.5,4,6.5,0,0.1875,0.1875
28,Latavius Murray (BAL),146,637,4.4,30,3,5,34,43,235,6.9,1,0,16,157.2,9.825,39.8125,14.6875,9.125,2.6875,0.3125,0.0625,0.375
29,Duke Johnson Jr. (MIA),83,410,4.9,40,3,2,44,62,410,9.3,3,1,16,154,9.625,25.625,25.625,5.1875,3.875,0.125,0.1875,0.3125
30,Carlos Hyde (JAC),245,"1,070",4.4,58,8,6,10,16,42,4.2,0,2,16,153.2,9.575,66.875,2.625,15.3125,1,0.375,0,0.375
31,Sony Michel (LAR),247,912,3.7,26,3,7,12,20,94,7.8,0,1,16,152.6,9.5375,57,5.875,15.4375,1.25,0.4375,0,0.4375
32,Devin Singletary (BUF),151,775,5.1,38,7,2,29,41,194,6.7,2,1,12,147.9,12.325,64.58333333,16.16666667,12.58333333,3.416666667,0.1666666667,0.1666666667,0.3333333333
33,Adrian Peterson (FA),211,898,4.3,32,6,5,17,23,142,8.4,0,2,16,147,9.1875,56.125,8.875,13.1875,1.4375,0.3125,0,0.3125
34,Jamaal Williams (DET),107,460,4.3,45,1,1,39,45,253,6.5,5,0,14,146.3,10.45,32.85714286,18.07142857,7.642857143,3.214285714,0.07142857143,0.3571428571,0.4285714286
35,James Conner (ARI),116,464,4,25,2,4,34,38,251,7.4,3,1,10,145.5,14.55,46.4,25.1,11.6,3.8,0.4,0.3,0.7
36,Royce Freeman (CAR),132,496,3.8,26,1,3,43,50,256,6,1,0,16,142.2,8.8875,31,16,8.25,3.125,0.1875,0.0625,0.25
37,David Johnson (HOU),94,345,3.7,18,0,2,36,47,370,10.3,4,1,13,141.5,10.88461538,26.53846154,28.46153846,7.230769231,3.615384615,0.1538461538,0.3076923077,0.4615384615
38,Damien Williams (CHI),111,498,4.5,91,2,5,30,37,213,7.1,2,1,11,141.1,12.82727273,45.27272727,19.36363636,10.09090909,3.363636364,0.4545454545,0.1818181818,0.6363636364
39,Tevin Coleman (NYJ),137,544,4,48,4,6,21,30,180,8.6,1,0,14,135.4,9.671428571,38.85714286,12.85714286,9.785714286,2.142857143,0.4285714286,0.07142857143,0.5
40,DeAndre Washington (FA),108,387,3.6,36,1,3,36,41,292,8.1,0,0,16,121.9,7.61875,24.1875,18.25,6.75,2.5625,0.1875,0,0.1875
41,LeSean McCoy (FA),101,465,4.6,39,4,4,28,34,181,6.5,1,2,13,118.6,9.123076923,35.76923077,13.92307692,7.769230769,2.615384615,0.3076923077,0.07692307692,0.3846153846
42,Nyheim Hines (IND),52,199,3.8,18,0,2,44,58,320,7.3,0,1,16,117.9,7.36875,12.4375,20,3.25,3.625,0.125,0,0.125
43,Peyton Barber (LV),154,470,3.1,17,0,6,16,24,115,7.2,1,1,16,116.5,7.28125,29.375,7.1875,9.625,1.5,0.375,0.0625,0.4375
44,Jordan Howard (PHI),119,525,4.4,20,1,6,10,14,69,6.9,1,0,10,111.4,11.14,52.5,6.9,11.9,1.4,0.6,0.1,0.7
45,Jaylen Samuels (PIT),66,175,2.7,13,0,1,47,57,305,6.5,1,1,14,105.4,7.528571429,12.5,21.78571429,4.714285714,4.071428571,0.07142857143,0.07142857143,0.1428571429
46,Matt Breida (BUF),123,623,5.1,83,4,1,19,22,120,6.3,1,1,13,103.3,7.946153846,47.92307692,9.230769231,9.461538462,1.692307692,0.07692307692,0.07692307692,0.1538461538
47,Kareem Hunt (CLE),43,179,4.2,16,0,2,37,44,285,7.7,1,0,9,101.4,11.26666667,19.88888889,31.66666667,4.777777778,4.888888889,0.2222222222,0.1111111111,0.3333333333
48,Rex Burkhead (HOU),65,302,4.6,33,1,3,27,38,279,10.3,0,1,13,101.1,7.776923077,23.23076923,21.46153846,5,2.923076923,0.2307692308,0,0.2307692308
49,Boston Scott (PHI),61,245,4,25,1,5,24,26,204,8.5,0,1,11,96.9,8.809090909,22.27272727,18.54545455,5.545454545,2.363636364,0.4545454545,0,0.4545454545
50,Frank Gore (FA),166,599,3.6,41,4,2,13,16,100,7.7,0,0,16,94.9,5.93125,37.4375,6.25,10.375,1,0.125,0,0.125
51,Chris Thompson (CHI),37,138,3.7,16,0,0,42,58,378,9,0,0,11,93.6,8.509090909,12.54545455,34.36363636,3.363636364,5.272727273,0,0,0
52,Gus Edwards (BAL),133,711,5.3,63,5,2,7,7,45,6.4,0,1,16,92.6,5.7875,44.4375,2.8125,8.3125,0.4375,0.125,0,0.125
53,Tony Pollard (DAL),86,455,5.3,44,4,2,15,20,107,7.1,1,1,15,89.2,5.946666667,30.33333333,7.133333333,5.733333333,1.333333333,0.1333333333,0.06666666667,0.2
54,Kerryon Johnson (FA),113,403,3.6,20,1,3,10,15,127,12.7,1,1,8,85,10.625,50.375,15.875,14.125,1.875,0.375,0.125,0.5
55,J.D. McKissic (WAS),38,205,5.4,44,2,0,34,42,233,6.9,1,0,16,83.8,5.2375,12.8125,14.5625,2.375,2.625,0,0.0625,0.0625
56,Jalen Richard (LV),39,145,3.7,13,0,0,36,43,323,9,0,0,16,82.8,5.175,9.0625,20.1875,2.4375,2.6875,0,0,0
57,Chase Edmonds (ARI),60,303,5.1,37,4,4,12,21,105,8.8,1,0,13,82.8,6.369230769,23.30769231,8.076923077,4.615384615,1.615384615,0.3076923077,0.07692307692,0.3846153846
58,Dare Ogunbowale (JAC),11,17,1.5,12,0,2,35,46,286,8.2,0,1,16,75.3,4.70625,1.0625,17.875,0.6875,2.875,0.125,0,0.125
59,Rashaad Penny (SEA),65,370,5.7,58,4,3,8,11,83,10.4,1,1,10,75.3,7.53,37,8.3,6.5,1.1,0.3,0.1,0.4
60,Alexander Mattison (MIN),100,462,4.6,35,4,1,10,12,82,8.2,0,1,13,68.4,5.261538462,35.53846154,6.307692308,7.692307692,0.9230769231,0.07692307692,0,0.07692307692
61,Giovani Bernard (TB),53,170,3.2,25,1,0,30,43,234,7.8,0,1,16,68.4,4.275,10.625,14.625,3.3125,2.6875,0,0,0
62,Patrick Laird (MIA),62,168,2.7,18,0,1,23,30,204,8.9,0,0,15,68.2,4.546666667,11.2,13.6,4.133333333,2,0.06666666667,0,0.06666666667
63,Darrel Williams (KC),41,141,3.4,41,1,3,15,20,167,11.1,1,1,12,67.8,5.65,11.75,13.91666667,3.416666667,1.666666667,0.25,0.08333333333,0.3333333333
